Serving Count	Cals Per Serv	Total Cals	Total Cals Per Dollar	Fat Per Serv	Total Fat	Total Fat Per Dollar	Carbs Per Serving	Total Carbs	Total Carbs Per Dollar	Protein Per Serving	Total Protein	Total Protein Per Dollar	Link
9	200	1800	171.6	8	72	6.9	15	135	12.9	20	180	17.2	http://vitacost.com/six-star-pro-nutrition-protein-bar-chocolate-peanut-butter
9	190	1710	163	6	54	5.1	15	135	12.9	20	180	17.2	http://vitacost.com/six-star-pro-nutrition-protein-bar-chocolate-deluxe-9-bars
12	280	3360	211.5	7	84	5.3	37	444	27.9	20	240	15.1	http://vitacost.com/promax-protein-bar-greek-yogurt-honey-nut-12-bars
15	190	2850	167.7	2.5	37.5	2.2	25	375	22.1	17	255	15	http://vitacost.com/nugo-nutrition-nugo-to-go-chocolate-banana
12	460	5520	224.5	12	144	5.9	58	696	28.3	30	360	14.6	http://vitacost.com/forward-foods-detour-oatmeal-whole-grain-whey-protein-bar-peanut-butter-banana-12-bars
12	400	4800	188.3	10	120	4.7	46	552	21.7	30	360	14.1	http://vitacost.com/met-rx-big100-colossal-bar-chocolate-caramel-coconut
15	200	3000	187.6	7	105	6.6	21	315	19.7	15	225	14.1	http://vitacost.com/balance-bar-nutrition-energy-bar-peanut-butter-15-bars
12	440	5280	199.3	7	84	3.2	63	756	28.5	30	360	13.6	http://vitacost.com/forward-foods-detour-oatmeal-whole-grain-whey-protein-bar-chocolate-chip-cookie-dough
6	170	1020	189.2	4.5	27	5	22	132	24.5	12	72	13.4	http://vitacost.com/promax-energy-bar-chocolate-chip-cookie-dough-6-bars-1
6	160	960	178.1	3	18	3.3	24	144	26.7	12	72	13.4	http://vitacost.com/promax-energy-bar-cookies-cream-6-bars
6	150	900	167	4.5	27	5	22	132	24.5	12	72	13.4	http://vitacost.com/promax-ls-lower-sugar-energy-bar-peanut-butter-cookie-dough-6-bars
6	140	840	155.8	3.5	21	3.9	21	126	23.4	12	72	13.4	http://vitacost.com/promax-ls-lower-sugar-energy-bar-chocolate-fudge-6-bars-1
12	190	2280	127.4	4	48	2.7	19	228	12.7	20	240	13.4	http://vitacost.com/nugo-nutrition-smarte-carb-sugar-free-bars-peanut-butter-crunch
15	200	3000	177.6	7	105	6.2	22	330	19.5	15	225	13.3	http://vitacost.com/balance-bar-nutrition-bar-honey-peanut
12	190	2280	140.8	7	84	5.2	24	288	17.8	18	216	13.3	http://vitacost.com/promax-ls-lower-sugar-protein-bar-chocolate-mint-12-bars
12	180	2160	133.4	6	72	4.4	25	300	18.5	18	216	13.3	http://vitacost.com/promax-ls-lower-sugar-protein-bar-honey-peanut
12	180	2160	133.4	6	72	4.4	25	300	18.5	18	216	13.3	http://vitacost.com/promax-ls-lower-sugar-protein-bar-salted-caramel-12-bars
12	280	3360	176.9	10	120	6.3	28	336	17.7	20	240	12.6	http://vitacost.com/clif-builders-protein-bar-chocolate-hazelnut
12	150	1800	111.2	3	36	2.2	22	264	16.3	17	204	12.6	http://vitacost.com/nugo-nutrition-smarte-carb-sugar-free-bars-chocolate-black-cherry-12-bars-2
10	240	2400	150.1	9	90	5.6	25	250	15.6	20	200	12.5	http://vitacost.com/think-products-thinkthin-high-protein-bar-white-chocolate
15	200	3000	177.6	7	105	6.2	22	330	19.5	14	210	12.4	http://vitacost.com/balance-bar-nutrition-energy-bar-double-chocolate-brownie-15-bars-1
15	200	3000	177.6	7	105	6.2	21	315	18.7	14	210	12.4	http://vitacost.com/balance-bar-nutrition-energy-bar-almond-brownie
12	380	4560	150.5	17	204	6.7	32	384	12.7	30	360	11.9	http://vitacost.com/musclemeds-carnivor-soft-baked-protein-bar-cookies-cream-12-bars
12	380	4560	150.5	17	204	6.7	32	384	12.7	30	360	11.9	http://vitacost.com/musclemeds-carnivor-soft-baked-protein-bar-chocolate-peanut-butter-12-bars
12	190	2280	147.2	6	72	4.6	19	228	14.7	15	180	11.6	http://vitacost.com/cytosport-muscle-milk-snack-protein-bar
5	200	1000	143.1	8	40	5.7	22	110	15.7	16	80	11.4	http://vitacost.com/south-beach-diet-proteinfit-bars-with-greek-yogurt-coating-honey-peanut
5	200	1000	139.1	8	40	5.6	22	110	15.3	16	80	11.1	http://vitacost.com/south-beach-diet-protein-fit-bar-with-greek-yogurt-coating-dark-chocolate-coconut
12	290	3480	118	7	84	2.8	36	432	14.6	27	324	11	http://vitacost.com/nugo-nutrition-nugo-stronger-protein-bars-cookies-n-cream-12-bars
15	230	3450	131.4	8	120	4.6	24	360	13.7	18	270	10.3	http://vitacost.com/purefit-nutrition-bar-gluten-free-peanut-butter-crunch
12	330	3960	153	13	156	6	33	396	15.3	22	264	10.2	http://vitacost.com/organic-food-bar-protein-12-bars-4
12	310	3720	126.1	12	144	4.9	36	432	14.6	25	300	10.2	http://vitacost.com/nugo-nutrition-nugo-stronger-protein-bars-peanut-cluster-12-bars-1
12	290	3480	118	8	96	3.3	38	456	15.5	25	300	10.2	http://vitacost.com/nugo-nutrition-nugo-stronger-protein-bars-caramel-pretzel-12-bars
12	190	2280	91.2	8	96	3.8	21	252	10.1	21	252	10.1	http://vitacost.com/quest-nutrition-questbar-protein-bar-chocolate-chip-cookie-dough-12-bars-4
12	180	2160	86.4	7	84	3.4	22	264	10.6	21	252	10.1	http://vitacost.com/quest-nutrition-questbar-protein-bar-cookies-cream-12-bars-4
12	205	2460	154.8	13	156	9.8	10	120	7.6	13	156	9.8	http://vitacost.com/bionutritional-research-group-power-crunch-protein-energy-bar-chocolate-mint-12-bars-2
15	170	2550	150.1	2.5	37.5	2.2	26	390	23	11	165	9.7	http://vitacost.com/nugo-nutrition-to-go-vanilla-yogurt
15	170	2550	150.1	3	45	2.6	26	390	23	11	165	9.7	http://vitacost.com/nugo-nutrition-to-go-peanut-butter-chocolate-15-bars
15	170	2550	150.1	2.5	37.5	2.2	25	375	22.1	11	165	9.7	http://vitacost.com/nugo-nutrition-nugo-to-go-orange-smoothie-15-bars
15	170	2550	150.1	3	45	2.6	26	390	23	11	165	9.7	http://vitacost.com/nugo-nutrition-nugo-to-go-coffee-15-bars
12	180	2160	144.1	7	84	5.6	21	252	16.8	12	144	9.6	http://vitacost.com/clif-luna-protein-bar-chocolate-coconut-almond-12-bars
12	170	2040	136.1	5	60	4	20	240	16	12	144	9.6	http://vitacost.com/clif-luna-protein-bar-mint-chocolate-chip-12-bars-1
12	170	2040	136.1	4.5	54	3.6	21	252	16.8	12	144	9.6	http://vitacost.com/clif-luna-high-protein-bar-lemon-vanilla
6	190	1140	114.1	8	48	4.8	14	84	8.4	16	96	9.6	http://vitacost.com/fortifx-fit-crunch-snack-bar-cookies-and-cream-6-bars
6	190	1140	114.1	8	48	4.8	14	84	8.4	16	96	9.6	http://vitacost.com/fortifx-fit-crunch-snack-bar-peanut-butter
12	210	2520	100.8	10	120	4.8	21	252	10.1	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-peanut-butter-supreme-12-bars-5
12	210	2520	100.8	10	120	4.8	21	252	10.1	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-peanut-butter-and-jelly-12-bars-2
12	200	2400	96	9	108	4.3	22	264	10.6	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-vanilla-almond-crunch-12-bars-3
12	200	2400	96	8	96	3.8	22	264	10.6	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-mixed-berry-bliss-12-bars-3
12	190	2280	91.2	8	96	3.8	23	276	11	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-white-chocolate-raspberry-12-bars-6
12	180	2160	86.4	8	96	3.8	23	276	11	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-smores-12-bars
12	170	2040	81.6	6	72	2.9	24	288	11.5	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-chocolate-brownie-12-bars-4
12	170	2040	81.6	6	72	2.9	25	300	12	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-cinnamon-roll-12-bars-3
12	170	2040	81.6	6	72	2.9	24	288	11.5	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-natural-protein-bar-coconut-cashew-12-bars-2
12	170	2040	81.6	5	60	2.4	24	288	11.5	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-apple-pie-12-bars-6
12	170	2040	81.6	5	60	2.4	25	300	12	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-banana-nut-muffin-12-bars-3
12	170	2040	81.6	6	72	2.9	25	300	12	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-lemon-cream-pie-12-bars-2
12	160	1920	76.8	5	60	2.4	25	300	12	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-chocolate-peanut-butter-12-bars-7
12	160	1920	76.8	4.5	54	2.2	26	312	12.5	20	240	9.6	http://vitacost.com/quest-nutrition-questbar-protein-bar-strawberry-cheese-cake-12-bars-4
12	350	4200	127.3	17	204	6.2	36	432	13.1	26	312	9.5	http://vitacost.com/iss-research-oh-yeah-protein-bars-chocolate-carmel-candies
4	130	520	110.9	5	20	4.3	17	68	14.5	11	44	9.4	http://vitacost.com/level-life-protein-snack-bar-gluten-free-chocolatey-crisp-4-bars-1
12	280	3360	127.8	16	192	7.3	20	240	9.1	20	240	9.1	http://vitacost.com/rise-foods-boomi-bar-protein-bar-almond-honey
12	290	3480	129.9	10	120	4.5	32	384	14.3	20	240	9	http://vitacost.com/probar-base-20g-protein-bar-gluten-free
12	280	3360	125.4	9	108	4	33	396	14.8	20	240	9	http://vitacost.com/probar-base-20g-protein-bar-gluten-free-mint-chocolate
12	290	3480	128.5	9	108	4	32	384	14.2	20	240	8.9	http://vitacost.com/probar-base-20g-protein-bar-gluten-free-chocolate-supergreens-12-bars
6	210	1260	92.7	4.5	27	2	29	174	12.8	20	120	8.8	http://vitacost.com/met-rx-prime-bar-chocolate-brownie
15	170	2550	132.2	3	45	2.3	26	390	20.2	11	165	8.6	http://vitacost.com/nugo-nutrition-to-go-chocolate-15-bars
12	260	3120	131.7	15	180	7.6	22	264	11.1	17	204	8.6	http://vitacost.com/rise-foods-boomi-bar-protein-plus-bar-crunchy-carob-chip-12-bars
12	220	2640	87.7	8	96	3.2	22	264	8.8	21	252	8.4	http://vitacost.com/natures-plus-ketoslim-high-protein-bars-chocolate-almond-crunch
5	250	1250	231.9	14	70	13	21	105	19.5	9	45	8.3	http://vitacost.com/cascadian-farms-organic-protein-chewy-bars-peanut-butter-chocolate-chip
4	140	560	89	5	20	3.2	14	56	8.9	13	52	8.3	http://vitacost.com/level-life-protein-snack-bar-chocolatey-peanut-crunch-4-bars
5	250	1250	227.7	16	80	14.6	20	100	18.2	9	45	8.2	http://vitacost.com/cascadian-farms-organic-protein-chewy-bars-honey-roasted-nut-5-bars
7	50	350	76.3	1.5	10.5	2.3	5	35	7.6	5	35	7.6	http://vitacost.com/the-simply-bar-simply-protein-mini-bars-dark-chocolate-salted-caramel-7-bars
12	280	3360	140.6	15	180	7.5	21	252	10.5	15	180	7.5	http://vitacost.com/rise-foods-protein-plus-bar-sunflower-cinnamon-12-bars-1
12	260	3120	130.6	13	156	6.5	23	276	11.6	15	180	7.5	http://vitacost.com/rise-foods-protein-plus-bar-lemon-cashew-12-bars-2
18	120	2160	109.1	4.5	81	4.1	12	216	10.9	8	144	7.3	http://vitacost.com/elisabeth-hasselbecks-nogii-no-gluten-protein-dlites-chocolate-caramel-bliss
12	190	2280	69.1	5	60	1.8	14	168	5.1	20	240	7.3	http://vitacost.com/powerful-yogurt-yogurt-bar-chocolate-coconut-12-bars
